mbpp_id,run_balanced_pass,run_easy_heavy_pass,run_hard_heavy_pass,run_medium_heavy_pass
11,False,False,True,False
12,True,True,True,True
13,False,False,False,False
14,True,False,False,False
15,False,False,False,False
16,False,False,False,False
17,True,True,True,True
18,True,True,True,True
19,True,True,True,True
20,False,False,False,False
21,False,False,False,False
22,True,False,True,True
23,True,False,True,False
24,False,False,True,True
25,True,False,False,False
26,False,False,False,False
27,False,False,False,True
28,True,False,True,False
29,True,True,False,True
30,False,False,False,False
31,False,False,False,False
32,True,False,False,False
33,False,False,False,False
34,False,False,True,True
35,False,True,True,False
36,False,False,False,False
37,False,False,False,False
38,False,False,False,False
39,False,False,False,False
40,False,False,True,False
41,True,True,True,True
42,False,False,False,False
43,False,False,False,False
44,True,False,True,True
45,True,True,True,False
46,True,True,False,True
47,False,False,False,False
48,False,False,False,False
49,True,True,True,False
50,False,False,False,True
51,True,False,True,True
52,True,True,True,True
53,True,True,True,True
54,True,False,True,False
55,False,False,False,False
56,True,True,False,True
57,True,True,True,False
58,False,True,False,True
59,False,False,False,True
60,False,False,False,False
61,False,False,False,False
62,True,True,True,True
63,False,True,False,False
64,True,True,True,True
65,False,False,False,True
66,True,True,True,True
67,False,False,False,False
68,False,True,False,False
69,False,False,False,False
70,False,True,False,True
71,True,True,False,True
72,False,False,False,True
73,False,False,False,False
74,False,False,False,False
75,True,False,False,False
76,False,False,False,False
77,False,False,False,False
78,True,False,False,True
79,False,True,False,False
80,True,False,False,True
81,False,False,False,False
82,False,True,True,False
83,False,False,False,False
84,False,False,False,False
85,False,True,False,False
86,False,False,False,False
87,False,False,False,False
88,False,False,False,False
89,False,False,False,False
90,True,True,True,True
91,False,False,True,False
92,False,False,False,False
93,True,True,True,True
94,True,True,True,False
95,True,True,True,True
96,True,True,True,False
97,False,True,True,True
98,True,False,False,True
99,True,True,True,True
100,True,False,False,False
101,False,False,False,False
102,True,True,True,True
103,False,False,False,False
104,True,True,True,False
105,True,True,False,True
106,False,False,True,True
107,False,False,False,False
108,False,False,False,False
109,False,False,False,False
110,False,False,False,False
111,False,False,True,True
112,False,False,False,False
113,True,True,False,True
114,False,False,False,False
115,True,True,True,True
116,True,True,True,True
117,False,False,False,False
118,True,False,True,True
119,False,False,True,False
120,True,True,False,False
121,False,False,False,False
122,False,False,False,False
123,False,False,False,False
124,False,False,False,False
125,False,False,False,False
126,False,False,False,False
127,True,True,True,True
128,False,False,False,False
129,False,False,False,False
130,False,True,True,False
131,False,True,True,False
132,True,True,True,True
133,True,True,False,True
134,False,False,True,False
135,True,True,False,False
136,False,False,False,False
137,False,False,False,False
138,False,False,False,False
139,False,False,False,False
140,False,False,False,False
141,False,False,False,False
142,False,False,False,False
143,False,False,False,False
144,True,False,False,True
145,True,False,False,False
146,False,False,False,False
147,False,False,False,False
148,False,False,False,False
149,False,False,False,False
150,False,False,False,False
151,True,True,True,False
152,True,True,False,True
153,False,False,False,False
154,True,True,True,False
155,False,False,False,False
156,False,False,False,False
157,False,False,False,False
158,False,False,False,False
159,False,False,False,False
160,False,False,False,False
161,True,True,True,True
162,True,True,False,True
163,False,False,False,False
164,False,False,False,False
165,False,False,False,False
166,False,False,False,True
167,True,False,True,False
168,True,True,True,True
169,True,False,False,False
170,False,True,True,True
171,False,True,True,False
172,True,False,False,False
173,False,False,False,False
174,True,False,True,True
175,True,True,True,False
176,False,True,True,True
177,False,False,False,False
178,True,True,True,True
179,False,False,False,False
180,False,False,False,False
181,True,False,True,True
182,False,False,False,False
183,False,False,False,True
184,False,False,False,False
185,False,False,False,False
186,False,True,True,True
187,True,True,True,True
188,False,False,False,False
189,False,False,False,True
190,False,False,False,False
191,False,False,False,True
192,False,False,True,False
193,True,True,True,False
194,False,False,False,True
195,True,False,False,True
196,True,True,False,True
197,False,True,True,True
198,False,False,False,False
199,True,True,False,False
200,True,True,True,False
201,True,True,True,True
202,False,False,False,False
203,True,True,True,True
204,True,True,True,True
205,False,False,False,False
206,False,False,False,False
207,False,False,False,False
208,False,False,False,True
209,False,False,False,False
210,False,False,False,False
211,False,False,False,False
212,True,True,True,True
213,False,False,False,False
214,False,False,False,False
215,False,False,False,False
216,False,False,True,False
217,True,True,False,True
218,False,False,False,False
219,False,False,False,False
220,False,False,False,False
221,True,True,True,True
