model_run_id,mbpp_id,pass
01,11,False
01,12,False
01,13,False
01,14,False
01,15,False
01,16,True
01,17,True
01,18,True
01,19,True
01,20,False
01,21,False
01,22,True
01,23,True
01,24,False
01,25,False
01,26,False
01,27,True
01,28,True
01,29,True
01,30,False
01,31,False
01,32,True
01,33,False
01,34,True
01,35,True
01,36,False
01,37,False
01,38,False
01,39,False
01,40,True
01,41,True
01,42,True
01,43,False
01,44,True
01,45,True
01,46,True
01,47,False
01,48,False
01,49,True
01,50,False
01,51,True
01,52,True
01,53,False
01,54,True
01,55,True
01,56,True
01,57,True
01,58,False
01,59,False
01,60,False
01,61,False
01,62,True
01,63,False
01,64,True
01,65,False
01,66,True
01,67,False
01,68,False
01,69,False
01,70,False
01,71,False
01,72,True
01,73,False
01,74,False
01,75,True
01,76,False
01,77,False
01,78,True
01,79,True
01,80,True
01,81,False
01,82,True
01,83,False
01,84,False
01,85,True
01,86,False
01,87,False
01,88,True
01,89,False
01,90,True
01,91,False
01,92,True
01,93,True
01,94,False
01,95,False
01,96,True
01,97,True
01,98,False
01,99,True
01,100,True
01,101,False
01,102,True
01,103,False
01,104,True
01,105,True
01,106,True
01,107,False
01,108,False
01,109,False
01,110,False
01,111,True
01,112,False
01,113,True
01,114,False
01,115,False
01,116,True
01,117,False
01,118,True
01,119,False
01,120,True
01,121,False
01,122,False
01,123,False
01,124,False
01,125,False
01,126,False
01,127,True
01,128,False
01,129,False
01,130,True
01,131,True
01,132,True
01,133,False
01,134,False
01,135,False
01,136,False
01,137,False
01,138,False
01,139,False
01,140,True
01,141,False
01,142,False
01,143,False
01,144,False
01,145,True
01,146,False
01,147,False
01,148,False
01,149,False
01,150,False
01,151,True
01,152,True
01,153,True
01,154,True
01,155,False
01,156,False
01,157,True
01,158,False
01,159,False
01,160,False
01,161,True
01,162,True
01,163,True
01,164,False
01,165,False
01,166,False
01,167,True
01,168,True
01,169,True
01,170,True
01,171,True
01,172,False
01,173,True
01,174,True
