mbpp_id,pass@1,pass@5,pass@10
11,0.16666666666666674,0.6818181818181819,0.9848484848484849
12,0.5833333333333334,0.9987373737373737,1.0
13,0.0,0.0,0.0
14,0.5,0.9924242424242424,1.0
15,0.0,0.0,0.0
16,0.41666666666666674,0.9734848484848485,1.0
17,1.0,1.0,1.0
18,1.0,1.0,1.0
19,0.75,1.0,1.0
20,0.2500000000000001,0.8409090909090909,1.0
21,0.5833333333333334,0.9987373737373737,1.0
22,0.8333333333333333,1.0,1.0
23,0.6666666666666666,1.0,1.0
24,0.0,0.0,0.0
25,0.5,0.9924242424242424,1.0
26,0.0,0.0,0.0
27,0.2500000000000001,0.8409090909090909,1.0
28,0.9166666666666666,1.0,1.0
29,0.3333333333333335,0.9292929292929293,1.0
30,0.16666666666666674,0.6818181818181819,0.9848484848484849
31,0.0,0.0,0.0
32,0.41666666666666674,0.9734848484848485,1.0
33,0.0,0.0,0.0
34,0.41666666666666674,0.9734848484848485,1.0
35,0.8333333333333333,1.0,1.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,1.0,1.0,1.0
41,1.0,1.0,1.0
42,0.08333333333333337,0.41666666666666674,0.8333333333333334
43,0.2500000000000001,0.8409090909090909,1.0
44,0.8333333333333333,1.0,1.0
45,0.75,1.0,1.0
46,0.5833333333333334,0.9987373737373737,1.0
47,0.08333333333333337,0.41666666666666674,0.8333333333333334
48,0.0,0.0,0.0
49,0.8333333333333333,1.0,1.0
50,0.0,0.0,0.0
51,1.0,1.0,1.0
52,1.0,1.0,1.0
53,0.5,0.9924242424242424,1.0
54,1.0,1.0,1.0
55,0.5,0.9924242424242424,1.0
56,0.5,0.9924242424242424,1.0
57,0.5833333333333334,0.9987373737373737,1.0
58,0.5833333333333334,0.9987373737373737,1.0
59,0.2500000000000001,0.8409090909090909,1.0
60,0.0,0.0,0.0
61,0.08333333333333337,0.41666666666666674,0.8333333333333334
62,1.0,1.0,1.0
63,0.0,0.0,0.0
64,0.8333333333333333,1.0,1.0
65,0.5833333333333334,0.9987373737373737,1.0
66,1.0,1.0,1.0
67,0.0,0.0,0.0
68,0.9166666666666666,1.0,1.0
69,0.3333333333333335,0.9292929292929293,1.0
70,0.9166666666666666,1.0,1.0
71,0.6666666666666666,1.0,1.0
72,0.2500000000000001,0.8409090909090909,1.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.2500000000000001,0.8409090909090909,1.0
76,0.08333333333333337,0.41666666666666674,0.8333333333333334
77,0.0,0.0,0.0
78,0.16666666666666674,0.6818181818181819,0.9848484848484849
79,1.0,1.0,1.0
80,1.0,1.0,1.0
81,0.0,0.0,0.0
82,0.9166666666666666,1.0,1.0
83,0.0,0.0,0.0
84,0.08333333333333337,0.41666666666666674,0.8333333333333334
85,1.0,1.0,1.0
86,0.08333333333333337,0.41666666666666674,0.8333333333333334
87,0.0,0.0,0.0
88,1.0,1.0,1.0
89,0.3333333333333335,0.9292929292929293,1.0
90,1.0,1.0,1.0
91,0.5,0.9924242424242424,1.0
92,0.5,0.9924242424242424,1.0
93,1.0,1.0,1.0
94,0.5,0.9924242424242424,1.0
95,0.41666666666666674,0.9734848484848485,1.0
96,1.0,1.0,1.0
97,0.75,1.0,1.0
98,0.6666666666666666,1.0,1.0
99,1.0,1.0,1.0
100,0.75,1.0,1.0
101,0.2500000000000001,0.8409090909090909,1.0
102,0.8333333333333333,1.0,1.0
103,0.0,0.0,0.0
104,0.9166666666666666,1.0,1.0
105,1.0,1.0,1.0
106,0.3333333333333335,0.9292929292929293,1.0
107,0.0,0.0,0.0
108,0.0,0.0,0.0
109,0.16666666666666674,0.6818181818181819,0.9848484848484849
110,0.0,0.0,0.0
111,0.3333333333333335,0.9292929292929293,1.0
112,0.0,0.0,0.0
113,1.0,1.0,1.0
114,0.0,0.0,0.0
115,0.08333333333333337,0.41666666666666674,0.8333333333333334
116,1.0,1.0,1.0
117,0.0,0.0,0.0
118,1.0,1.0,1.0
119,0.0,0.0,0.0
120,0.6666666666666666,1.0,1.0
121,0.0,0.0,0.0
122,0.0,0.0,0.0
123,0.0,0.0,0.0
124,0.0,0.0,0.0
125,0.0,0.0,0.0
126,0.0,0.0,0.0
127,1.0,1.0,1.0
128,0.0,0.0,0.0
129,0.08333333333333337,0.41666666666666674,0.8333333333333334
130,1.0,1.0,1.0
131,0.8333333333333333,1.0,1.0
132,1.0,1.0,1.0
133,0.5833333333333334,0.9987373737373737,1.0
134,0.16666666666666674,0.6818181818181819,0.9848484848484849
135,0.6666666666666666,1.0,1.0
136,0.0,0.0,0.0
137,0.0,0.0,0.0
138,0.0,0.0,0.0
139,0.0,0.0,0.0
140,0.3333333333333335,0.9292929292929293,1.0
141,0.3333333333333335,0.9292929292929293,1.0
142,0.16666666666666674,0.6818181818181819,0.9848484848484849
143,0.0,0.0,0.0
144,0.5,0.9924242424242424,1.0
145,0.16666666666666674,0.6818181818181819,0.9848484848484849
146,0.0,0.0,0.0
147,0.08333333333333337,0.41666666666666674,0.8333333333333334
148,0.0,0.0,0.0
149,0.0,0.0,0.0
150,0.0,0.0,0.0
151,1.0,1.0,1.0
152,1.0,1.0,1.0
153,0.75,1.0,1.0
154,0.9166666666666666,1.0,1.0
155,0.0,0.0,0.0
156,0.0,0.0,0.0
157,0.75,1.0,1.0
158,0.0,0.0,0.0
159,0.0,0.0,0.0
160,0.0,0.0,0.0
161,1.0,1.0,1.0
162,0.8333333333333333,1.0,1.0
163,0.2500000000000001,0.8409090909090909,1.0
164,0.3333333333333335,0.9292929292929293,1.0
165,0.08333333333333337,0.41666666666666674,0.8333333333333334
166,0.2500000000000001,0.8409090909090909,1.0
167,0.08333333333333337,0.41666666666666674,0.8333333333333334
168,1.0,1.0,1.0
169,0.6666666666666666,1.0,1.0
170,0.9166666666666666,1.0,1.0
171,0.75,1.0,1.0
172,0.08333333333333337,0.41666666666666674,0.8333333333333334
173,0.8333333333333333,1.0,1.0
174,0.9166666666666666,1.0,1.0
175,1.0,1.0,1.0
176,0.9166666666666666,1.0,1.0
177,0.0,0.0,0.0
178,0.75,1.0,1.0
179,0.0,0.0,0.0
180,0.0,0.0,0.0
181,0.41666666666666674,0.9734848484848485,1.0
182,0.08333333333333337,0.41666666666666674,0.8333333333333334
183,0.08333333333333337,0.41666666666666674,0.8333333333333334
184,0.08333333333333337,0.41666666666666674,0.8333333333333334
185,0.0,0.0,0.0
