mbpp_id,run_01_pass,run_02_pass,run_03_pass,run_04_pass,run_05_pass,run_06_pass,run_07_pass,run_08_pass,run_09_pass,run_10_pass,run_11_pass,run_12_pass
11,False,False,True,False,False,False,False,False,False,False,False,True
12,False,False,True,True,True,True,False,False,True,True,True,False
13,False,False,False,False,False,False,False,False,False,False,False,False
14,False,False,False,True,True,False,True,True,False,True,True,False
15,False,False,False,False,False,False,False,False,False,False,False,False
16,True,False,True,False,True,False,False,False,False,True,False,True
17,True,True,True,True,True,True,True,True,True,True,True,True
18,True,True,True,True,True,True,True,True,True,True,True,True
19,True,True,True,True,True,True,True,False,False,True,True,False
20,False,False,False,True,False,False,False,False,True,False,True,False
21,False,False,True,True,True,True,False,False,True,True,True,False
22,True,True,True,False,True,False,True,True,True,True,True,True
23,True,False,True,False,True,True,True,True,False,True,False,True
24,False,False,False,False,False,False,False,False,False,False,False,False
25,False,True,True,True,True,False,True,False,False,False,False,True
26,False,False,False,False,False,False,False,False,False,False,False,False
27,True,False,False,False,False,False,False,False,False,False,True,True
28,True,True,True,True,True,True,True,True,False,True,True,True
29,True,False,False,True,False,False,False,False,False,True,True,False
30,False,True,False,False,False,False,True,False,False,False,False,False
31,False,False,False,False,False,False,False,False,False,False,False,False
32,True,False,True,False,False,True,True,False,False,False,True,False
33,False,False,False,False,False,False,False,False,False,False,False,False
34,True,True,False,False,True,True,False,True,False,False,False,False
35,True,True,True,True,True,True,True,True,True,False,True,False
36,False,False,False,False,False,False,False,False,False,False,False,False
37,False,False,False,False,False,False,False,False,False,False,False,False
38,False,False,False,False,False,False,False,False,False,False,False,False
39,False,False,False,False,False,False,False,False,False,False,False,False
40,True,True,True,True,True,True,True,True,True,True,True,True
41,True,True,True,True,True,True,True,True,True,True,True,True
42,True,False,False,False,False,False,False,False,False,False,False,False
43,False,False,True,False,False,False,True,True,False,False,False,False
44,True,False,True,True,False,True,True,True,True,True,True,True
45,True,True,True,True,True,False,False,True,False,True,True,True
46,True,True,True,False,False,False,True,False,True,True,True,False
47,False,False,True,False,False,False,False,False,False,False,False,False
48,False,False,False,False,False,False,False,False,False,False,False,False
49,True,False,False,True,True,True,True,True,True,True,True,True
50,False,False,False,False,False,False,False,False,False,False,False,False
51,True,True,True,True,True,True,True,True,True,True,True,True
52,True,True,True,True,True,True,True,True,True,True,True,True
53,False,False,True,False,True,True,False,False,True,False,True,True
54,True,True,True,True,True,True,True,True,True,True,True,True
55,True,True,True,True,False,False,False,False,False,False,True,True
56,True,True,True,False,True,False,False,True,False,False,False,True
57,True,True,False,True,False,False,False,True,False,True,True,True
58,False,True,True,True,True,True,False,True,False,False,True,False
59,False,False,False,True,False,True,False,True,False,False,False,False
60,False,False,False,False,False,False,False,False,False,False,False,False
61,False,False,False,False,False,False,False,False,True,False,False,False
62,True,True,True,True,True,True,True,True,True,True,True,True
63,False,False,False,False,False,False,False,False,False,False,False,False
64,True,True,False,True,True,True,True,True,True,False,True,True
65,False,True,False,False,True,True,True,False,True,True,False,True
66,True,True,True,True,True,True,True,True,True,True,True,True
67,False,False,False,False,False,False,False,False,False,False,False,False
68,False,True,True,True,True,True,True,True,True,True,True,True
69,False,True,True,False,False,False,False,False,True,False,True,False
70,False,True,True,True,True,True,True,True,True,True,True,True
71,False,True,True,False,False,True,False,True,True,True,True,True
72,True,False,False,False,False,False,True,False,False,False,True,False
73,False,False,False,False,False,False,False,False,False,False,False,False
74,False,False,False,False,False,False,False,False,False,False,False,False
75,True,False,False,False,False,False,False,True,False,True,False,False
76,False,False,False,False,False,False,False,False,False,True,False,False
77,False,False,False,False,False,False,False,False,False,False,False,False
78,True,False,False,False,False,True,False,False,False,False,False,False
79,True,True,True,True,True,True,True,True,True,True,True,True
80,True,True,True,True,True,True,True,True,True,True,True,True
81,False,False,False,False,False,False,False,False,False,False,False,False
82,True,True,True,False,True,True,True,True,True,True,True,True
83,False,False,False,False,False,False,False,False,False,False,False,False
84,False,False,False,False,False,False,False,False,False,False,True,False
85,True,True,True,True,True,True,True,True,True,True,True,True
86,False,False,False,False,False,False,False,False,False,False,True,False
87,False,False,False,False,False,False,False,False,False,False,False,False
88,True,True,True,True,True,True,True,True,True,True,True,True
89,False,False,True,False,False,False,False,True,True,True,False,False
90,True,True,True,True,True,True,True,True,True,True,True,True
91,False,False,False,True,True,True,True,True,True,False,False,False
92,True,True,True,True,False,False,False,False,True,False,False,True
93,True,True,True,True,True,True,True,True,True,True,True,True
94,False,True,False,False,True,True,True,True,False,False,True,False
95,False,True,True,True,False,False,False,False,True,False,True,False
96,True,True,True,True,True,True,True,True,True,True,True,True
97,True,True,True,False,False,True,True,True,True,True,False,True
98,False,True,False,True,True,False,True,True,True,True,True,False
99,True,True,True,True,True,True,True,True,True,True,True,True
100,True,False,True,False,True,True,True,True,True,True,False,True
101,False,False,True,False,True,False,True,False,False,False,False,False
102,True,True,True,False,True,True,True,True,True,True,True,False
103,False,False,False,False,False,False,False,False,False,False,False,False
