mbpp_id,run_balanced_pass,run_easy_heavy_pass,run_hard_heavy_pass,run_medium_heavy_pass
11,False,True,True,False
12,True,True,True,False
13,False,False,False,False
14,True,False,True,False
15,False,False,False,False
16,True,False,False,False
17,True,True,True,True
18,True,True,True,True
19,True,True,True,True
20,False,False,False,False
21,False,False,False,False
22,True,True,True,True
23,True,True,True,True
24,True,True,True,True
25,False,False,True,True
26,False,False,True,False
27,True,False,False,False
28,False,True,False,True
29,True,False,True,True
30,False,False,False,False
31,False,False,False,False
32,True,True,False,False
33,False,False,False,False
34,False,True,True,False
35,False,False,False,False
36,False,False,False,False
37,False,False,False,False
38,False,False,False,False
39,False,False,False,False
40,False,False,False,False
41,True,True,True,True
42,False,False,False,False
43,False,False,False,False
44,True,True,True,True
45,True,True,False,False
46,True,True,True,True
47,False,False,False,False
48,False,False,False,False
49,True,True,False,True
50,False,False,False,False
51,True,True,True,True
52,True,True,True,True
53,True,True,True,False
54,True,False,False,True
55,False,False,False,False
56,False,True,False,True
57,False,True,True,False
58,True,True,True,True
59,False,False,False,False
60,False,False,False,False
61,False,False,False,False
62,True,True,True,True
63,False,False,False,True
64,True,True,True,False
65,True,True,True,True
66,True,True,True,True
67,False,False,False,False
68,True,False,False,True
69,False,False,True,True
70,True,False,True,True
71,False,True,True,True
72,False,False,True,False
73,False,False,False,False
74,False,False,False,False
75,True,True,True,False
76,False,False,False,False
77,False,False,False,False
78,False,False,False,False
79,True,True,True,True
80,False,False,True,False
81,False,False,False,False
82,True,False,False,False
83,False,False,False,False
84,False,False,False,False
85,False,False,False,False
86,False,False,False,False
87,False,False,False,False
88,True,False,True,True
89,True,True,False,True
90,True,True,True,True
91,True,False,False,True
92,True,False,True,False
93,True,True,True,True
94,False,False,True,False
95,True,True,True,False
96,True,True,True,True
97,True,True,False,False
98,False,True,True,True
99,True,True,True,True
100,False,False,False,False
101,False,False,False,True
102,True,True,True,True
103,False,False,False,False
104,True,False,True,False
105,True,True,True,True
106,False,False,True,False
107,False,False,False,False
108,False,False,False,False
109,False,False,False,False
110,False,False,False,False
111,False,True,False,False
112,False,True,False,True
113,True,True,True,True
114,False,False,False,False
115,True,True,False,False
116,True,True,True,True
117,False,False,False,False
118,True,True,True,True
119,False,False,False,False
120,True,True,False,True
121,False,False,False,True
122,False,False,False,False
123,False,False,False,False
124,False,False,False,False
125,False,False,False,False
126,False,False,False,False
127,True,True,False,True
128,False,True,False,False
129,False,False,False,True
130,True,True,True,True
131,True,True,False,False
132,True,True,True,True
133,True,False,True,False
134,False,False,False,True
135,True,True,True,True
136,False,False,False,False
137,False,False,False,True
138,False,False,False,False
139,False,False,False,False
140,False,False,False,False
141,False,False,True,False
142,False,False,True,False
143,False,False,False,False
144,True,False,True,False
145,False,False,False,False
146,False,False,False,False
147,False,False,False,False
148,False,False,False,False
149,False,False,False,True
150,False,False,False,False
151,True,True,True,False
152,True,True,False,True
153,False,False,False,True
154,True,False,True,True
155,False,False,False,False
156,False,True,False,False
157,True,True,False,False
158,False,False,False,False
159,False,False,False,False
160,False,False,False,False
161,True,True,True,True
162,True,True,False,False
163,False,False,False,False
164,False,False,False,False
165,False,True,False,False
166,True,False,False,False
167,False,True,True,False
168,False,True,True,True
169,False,False,False,True
170,True,True,True,False
171,True,True,True,False
172,False,False,False,True
173,False,True,True,False
174,False,True,True,True
175,True,True,False,True
176,True,True,False,False
177,False,False,False,False
178,False,False,True,False
179,False,False,False,False
180,False,False,False,False
181,False,True,False,True
182,False,False,False,False
183,False,False,False,False
184,False,False,False,False
185,False,False,False,False
186,False,False,False,False
187,True,True,True,True
188,True,False,False,False
189,False,True,False,False
190,False,False,False,False
191,False,True,True,False
192,True,True,False,True
193,True,True,True,True
194,True,True,True,True
195,False,False,True,False
196,True,False,True,False
197,True,True,True,True
198,False,False,False,False
199,False,False,True,False
200,True,True,False,False
201,True,True,True,True
202,False,False,False,False
203,True,True,True,True
204,True,True,True,True
205,False,False,False,False
206,False,True,False,False
207,False,False,False,False
208,False,False,False,False
209,False,False,False,False
