model_run_id,mbpp_id,pass
balanced,11,False
balanced,12,True
balanced,13,False
balanced,14,True
balanced,15,False
balanced,16,True
balanced,17,True
balanced,18,True
balanced,19,True
balanced,20,False
balanced,21,False
balanced,22,True
balanced,23,True
balanced,24,True
balanced,25,False
balanced,26,False
balanced,27,True
balanced,28,False
balanced,29,True
balanced,30,False
balanced,31,False
balanced,32,True
balanced,33,False
balanced,34,False
balanced,35,False
balanced,36,False
balanced,37,False
balanced,38,False
balanced,39,False
balanced,40,False
balanced,41,True
balanced,42,False
balanced,43,False
balanced,44,True
balanced,45,True
balanced,46,True
balanced,47,False
balanced,48,False
balanced,49,True
balanced,50,False
balanced,51,True
balanced,52,True
balanced,53,True
balanced,54,True
balanced,55,False
balanced,56,False
balanced,57,False
balanced,58,True
balanced,59,False
balanced,60,False
balanced,61,False
balanced,62,True
balanced,63,False
balanced,64,True
balanced,65,True
balanced,66,True
balanced,67,False
balanced,68,True
balanced,69,False
balanced,70,True
balanced,71,False
balanced,72,False
balanced,73,False
balanced,74,False
balanced,75,True
balanced,76,False
balanced,77,False
balanced,78,False
balanced,79,True
balanced,80,False
balanced,81,False
balanced,82,True
balanced,83,False
balanced,84,False
balanced,85,False
balanced,86,False
balanced,87,False
balanced,88,True
balanced,89,True
balanced,90,True
balanced,91,True
balanced,92,True
balanced,93,True
balanced,94,False
balanced,95,True
balanced,96,True
balanced,97,True
balanced,98,False
balanced,99,True
balanced,100,False
balanced,101,False
balanced,102,True
balanced,103,False
balanced,104,True
balanced,105,True
balanced,106,False
balanced,107,False
balanced,108,False
balanced,109,False
balanced,110,False
balanced,111,False
balanced,112,False
balanced,113,True
balanced,114,False
balanced,115,True
balanced,116,True
balanced,117,False
balanced,118,True
balanced,119,False
balanced,120,True
balanced,121,False
balanced,122,False
balanced,123,False
balanced,124,False
balanced,125,False
balanced,126,False
balanced,127,True
balanced,128,False
balanced,129,False
balanced,130,True
balanced,131,True
balanced,132,True
balanced,133,True
balanced,134,False
balanced,135,True
balanced,136,False
balanced,137,False
balanced,138,False
balanced,139,False
balanced,140,False
balanced,141,False
balanced,142,False
balanced,143,False
balanced,144,True
balanced,145,False
balanced,146,False
balanced,147,False
balanced,148,False
balanced,149,False
balanced,150,False
balanced,151,True
balanced,152,True
balanced,153,False
balanced,154,True
balanced,155,False
balanced,156,False
balanced,157,True
balanced,158,False
balanced,159,False
balanced,160,False
balanced,161,True
balanced,162,True
balanced,163,False
balanced,164,False
balanced,165,False
balanced,166,True
balanced,167,False
balanced,168,False
balanced,169,False
balanced,170,True
balanced,171,True
balanced,172,False
balanced,173,False
balanced,174,False
balanced,175,True
balanced,176,True
balanced,177,False
balanced,178,False
balanced,179,False
balanced,180,False
balanced,181,False
balanced,182,False
balanced,183,False
balanced,184,False
