mbpp_id,run_balanced_pass
11,True
12,True
13,False
14,True
15,False
16,True
17,True
18,True
19,True
20,True
21,False
22,True
23,False
24,False
25,False
26,False
27,False
28,True
29,False
30,False
31,False
32,True
33,False
34,False
35,False
36,False
37,False
38,False
39,False
40,True
41,True
42,False
43,True
44,True
45,True
46,False
47,False
48,False
49,True
50,False
51,True
52,True
53,False
54,True
55,False
56,True
57,True
58,True
59,False
60,False
61,False
62,True
63,False
64,True
65,True
66,True
67,False
68,True
69,False
70,False
71,True
72,True
73,False
74,False
75,True
76,False
77,False
78,False
79,True
80,True
81,False
82,True
83,False
84,False
85,True
86,False
87,False
88,True
89,False
90,True
91,False
92,False
93,True
94,False
95,True
96,True
97,False
98,True
99,True
100,True
101,False
102,True
103,False
104,True
105,True
106,True
107,False
108,False
109,False
110,False
111,False
112,False
113,True
114,False
115,False
116,True
117,False
118,True
119,False
120,True
121,False
122,False
123,False
124,False
125,False
126,False
127,True
128,False
129,False
130,True
131,False
132,True
133,True
134,False
135,True
136,False
137,False
138,False
139,False
140,False
141,False
142,False
143,False
144,True
145,False
146,False
147,False
148,False
149,False
150,False
151,True
152,True
153,True
154,False
155,False
156,False
157,True
158,False
159,False
160,False
161,True
162,True
163,True
164,False
165,False
166,False
167,False
168,True
169,True
170,True
171,True
172,False
173,False
174,True
175,True
176,False
177,False
178,False
179,False
180,False
181,False
182,False
183,False
184,True
185,False
186,True
187,True
188,False
189,False
190,False
191,True
192,True
193,True
194,False
195,True
196,True
197,False
198,False
199,True
200,False
201,True
202,False
203,True
204,True
205,False
206,False
207,False
208,False
209,False
210,True
211,False
212,True
213,False
214,False
215,False
216,False
217,True
218,False
219,False
220,False
221,True
222,True
223,False
224,True
225,True
226,True
227,True
228,False
229,False
230,True
231,True
232,True
233,False
234,True
235,False
236,False
237,False
238,False
239,False
240,True
241,False
242,True
243,False
244,False
245,False
246,False
247,False
248,False
249,True
250,True
251,False
252,True
253,True
254,False
255,False
256,True
257,True
258,True
259,False
260,False
261,True
262,True
263,True
264,False
265,False
266,True
267,True
268,False
269,True
270,True
271,True
272,True
273,True
274,False
275,False
276,False
277,True
278,True
279,False
280,True
281,True
282,True
283,False
284,True
285,True
286,False
287,False
288,False
289,False
290,False
291,False
292,True
293,True
294,False
295,False
296,True
297,True
298,False
299,False
300,False
301,False
302,False
303,False
304,False
305,False
306,False
307,False
308,False
309,True
310,False
311,False
312,False
313,False
314,False
315,False
316,False
317,False
318,False
319,True
320,True
321,False
322,True
323,False
324,False
325,True
326,False
327,False
328,False
329,True
330,True
331,False
332,True
333,False
334,True
335,False
336,False
337,True
338,False
339,False
340,False
341,True
342,False
343,False
344,False
345,True
346,False
347,False
348,False
349,False
350,True
351,False
352,False
353,False
354,False
355,False
356,True
357,False
358,False
359,False
360,False
361,True
362,True
363,False
364,False
365,True
366,False
367,False
368,False
369,True
370,False
371,True
372,False
373,True
374,False
375,False
376,False
377,True
378,False
379,True
380,True
381,True
382,True
383,False
384,True
385,False
386,False
387,False
388,True
389,True
390,False
391,False
392,False
393,False
394,True
395,True
396,True
397,False
398,False
399,True
400,False
401,False
402,True
403,True
404,True
405,True
406,True
407,False
408,False
409,False
410,False
411,False
412,True
413,False
414,True
415,False
416,False
417,False
418,True
419,True
420,False
421,False
422,True
423,False
424,True
425,True
426,True
427,True
428,True
429,False
430,False
431,False
432,False
433,False
434,False
435,True
436,False
437,False
438,False
439,True
440,False
441,True
442,False
443,False
444,False
445,False
446,True
447,True
448,False
449,False
450,False
451,True
452,False
453,True
454,True
455,True
456,True
457,False
458,True
459,True
460,False
461,False
462,False
463,False
464,False
465,True
466,False
467,False
468,False
469,False
470,False
471,False
472,False
473,False
474,True
475,True
476,True
477,False
478,True
479,True
480,True
481,False
482,True
483,False
484,False
485,False
486,True
487,True
488,False
489,False
490,False
491,False
492,True
493,False
494,True
495,True
496,True
497,False
498,False
499,True
500,False
501,False
502,True
503,True
504,False
505,False
506,True
507,True
508,False
509,False
510,False
511,False
512,True
513,False
514,False
515,True
516,True
517,True
518,True
519,False
520,True
521,False
522,False
523,False
524,False
525,False
526,False
527,False
528,False
529,False
530,False
531,False
532,True
533,True
534,False
535,False
536,False
537,False
538,False
539,False
540,False
541,True
542,True
543,True
544,True
545,False
546,False
547,False
548,True
549,True
550,False
551,True
552,False
553,False
554,False
555,True
556,False
557,True
558,False
559,False
560,False
561,False
562,False
563,False
564,True
565,True
566,True
567,True
568,True
569,True
570,False
571,False
572,False
573,True
574,False
575,False
576,False
577,True
578,False
579,False
580,False
581,False
582,True
583,True
584,False
585,True
586,False
587,True
588,True
589,False
590,False
591,True
592,False
593,False
594,True
595,False
596,True
597,False
598,False
599,True
600,False
