mbpp_id,pass@1,pass@5,pass@10,difficulty
763,0.0,0.0,0.0,Hard
947,0.8333333333333333,1.0,1.0,Easy
690,0.5,0.9924242424242424,1.0,Medium
917,0.1666666666666667,0.6818181818181819,0.9848484848484848,Hard
644,0.4166666666666667,0.9734848484848484,1.0,Medium
756,0.5833333333333334,0.9987373737373736,1.0,Medium
656,0.0,0.0,0.0,Hard
743,0.0,0.0,0.0,Hard
946,0.5,0.9924242424242424,1.0,Medium
954,0.5,0.9924242424242424,1.0,Medium
859,0.0,0.0,0.0,Hard
643,0.3333333333333335,0.9292929292929292,1.0,Medium
890,0.0833333333333333,0.4166666666666667,0.8333333333333334,Hard
853,0.0,0.0,0.0,Hard
768,0.3333333333333335,0.9292929292929292,1.0,Medium
628,0.8333333333333333,1.0,1.0,Easy
925,0.2500000000000001,0.8409090909090909,1.0,Hard
804,0.3333333333333335,0.9292929292929292,1.0,Medium
627,0.1666666666666667,0.6818181818181819,0.9848484848484848,Hard
665,0.1666666666666667,0.6818181818181819,0.9848484848484848,Hard
767,0.0833333333333333,0.4166666666666667,0.8333333333333334,Hard
636,0.0,0.0,0.0,Hard
778,0.3333333333333335,0.9292929292929292,1.0,Medium
846,0.6666666666666666,1.0,1.0,Medium
934,0.0,0.0,0.0,Hard
650,0.2500000000000001,0.8409090909090909,1.0,Hard
916,0.0,0.0,0.0,Hard
764,0.6666666666666666,1.0,1.0,Medium
669,0.5833333333333334,0.9987373737373736,1.0,Medium
754,0.0,0.0,0.0,Hard
647,0.0833333333333333,0.4166666666666667,0.8333333333333334,Hard
664,0.3333333333333335,0.9292929292929292,1.0,Medium
615,0.4166666666666667,0.9734848484848484,1.0,Medium
659,0.0,0.0,0.0,Hard
820,0.3333333333333335,0.9292929292929292,1.0,Medium
621,0.4166666666666667,0.9734848484848484,1.0,Medium
641,0.2500000000000001,0.8409090909090909,1.0,Hard
773,0.0,0.0,0.0,Hard
704,0.4166666666666667,0.9734848484848484,1.0,Medium
770,0.6666666666666666,1.0,1.0,Medium
894,0.9166666666666666,1.0,1.0,Easy
953,0.0,0.0,0.0,Hard
949,0.0,0.0,0.0,Hard
878,0.4166666666666667,0.9734848484848484,1.0,Medium
974,0.5833333333333334,0.9987373737373736,1.0,Medium
823,0.5833333333333334,0.9987373737373736,1.0,Medium
601,0.1666666666666667,0.6818181818181819,0.9848484848484848,Hard
865,0.5833333333333334,0.9987373737373736,1.0,Medium
769,0.0,0.0,0.0,Hard
745,0.5,0.9924242424242424,1.0,Medium
785,0.6666666666666666,1.0,1.0,Medium
661,0.0,0.0,0.0,Hard
657,0.1666666666666667,0.6818181818181819,0.9848484848484848,Hard
